First Index,Second Index,Similarity
5643,10923,0.8903052806854248
2455,11753,0.7782642245292664
7274,15589,0.8414305448532104
7617,13144,0.78453528881073
696,18007,0.8075295686721802
5909,17498,0.7622666954994202
6340,16101,0.8460631370544434
3939,9775,0.818219006061554
6073,16471,0.7830227613449097
5399,13716,0.7097916603088379
6458,10394,0.8268535137176514
2697,15805,0.644327700138092
7776,17559,0.7014482021331787
210,14938,0.8418067693710327
8489,11200,0.8378317952156067
8585,18356,0.7939152717590332
9501,15348,0.878558337688446
378,10431,0.7637912034988403
8478,17557,0.7807098031044006
3252,9732,0.7900453805923462
8169,13629,0.82134610414505
3811,14427,0.9177367687225342
6324,17065,0.8124575614929199
3557,17154,0.7798784375190735
2893,12221,0.8068480491638184
3650,15296,0.853825569152832
8894,15161,0.8430685997009277
7713,11829,0.8192330598831177
9546,18467,0.862517237663269
1988,11905,0.8281667232513428
7928,17833,0.8556908369064331
1653,14672,0.8568075299263
919,19188,0.7041139602661133
7221,17694,0.7486231327056885
4918,11513,0.8156895637512207
5520,15245,0.7748567461967468
6342,14001,0.8120615482330322
4571,14177,0.793574333190918
8796,11460,0.857936441898346
7593,14713,0.8269285559654236
5393,18978,0.8597582578659058
2429,16174,0.8166395425796509
6676,15888,0.815245509147644
8297,15060,0.8003438115119934
22,16243,0.8726359605789185
5226,15188,0.8537376523017883
5673,11564,0.8743408918380737
1494,13323,0.8667587041854858
1038,15239,0.8388523459434509
8076,13686,0.8030143976211548
7637,17662,0.7155495882034302
376,17326,0.7408668398857117
1970,11329,0.8240163326263428
2524,15665,0.8022782802581787
6673,19235,0.755090594291687
9433,15623,0.778753399848938
7587,18031,0.749919056892395
7366,15320,0.7508995532989502
9388,15718,0.8061924576759338
2267,16052,0.7989636063575745
2496,18384,0.8144108057022095
5626,12876,0.8389479517936707
5598,16066,0.8375974297523499
8457,11610,0.7942111492156982
5395,17657,0.8909499645233154
7424,14767,0.7876062393188477
9171,12068,0.8098684549331665
7017,18574,0.8327129483222961
1383,16546,0.729150652885437
7363,13331,0.7889320850372314
8023,18267,0.8642473220825195
2432,13918,0.8494629859924316
6975,16635,0.833829939365387
2942,14431,0.8227982521057129
